# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Mar 04 15:04:43 AEDT 2024 [seed=1709525081974]
# /home/sebastiand/Dropbox/projects_WORKING/BETS_prior_sensitivity/cholera/cholera_fixed_phi.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
2100000	-951.7950141664327	-951.7950141664327	-3.663735981263019E-15	1753.6068924214142	256.39310757858584	10874.967425231896	1000.0	6.499460051810506	0.026413183270904923	2.9341851799505356E-5	2.9341851799505353E-5	-3.663735981263019E-15	0.0	-943.337334124884
2125000	-971.0593373259709	-971.0593373259709	-3.996802888650567E-15	3861.432756844568	-1851.4327568445678	16333.247047949379	1000.0	9.53169123897465	0.06510284518188034	7.661949634862569E-6	7.661949634862562E-6	-3.996802888650567E-15	0.0	-962.94952741688
2150000	-965.8159881516692	-965.8159881516692	-6.328271240363399E-15	2232.475074279731	-222.47507427973096	13598.916908210233	1000.0	5.382388137252761	0.09407029304070649	4.371409451721851E-5	4.371409451721852E-5	-6.328271240363399E-15	0.0	-957.1424754935156
2175000	-985.6292942889454	-985.6292942889454	-4.329869796038114E-15	1079.570310450183	930.4296895498171	9734.403159354744	1000.0	4.085138775075807	2.581776948432829	5.820365124788117E-6	5.820365124788117E-6	-4.329869796038114E-15	0.0	-973.7311771120561
2200000	-960.39368371886	-960.39368371886	-5.329070518200756E-15	1359.4445447113858	650.5554552886142	8838.95353882445	1000.0	7.299641918474784	0.5879305830426532	5.624802016817122E-5	5.624802016817123E-5	-5.329070518200756E-15	0.0	-950.0206657324335
2225000	-958.1188852319558	-958.1188852319558	-5.662137425588305E-15	2357.3743771398526	-347.37437713985264	12199.957375101701	1000.0	4.042195137226856	0.6594027100418575	2.015211157749606E-5	2.015211157749606E-5	-5.662137425588305E-15	0.0	-949.3815166098706
2250000	-994.8135369625924	-994.8135369625924	-5.329070518200756E-15	1855.145793263097	154.85420673690305	12066.296622714723	1000.0	12.371283492527207	0.26938680374606394	1.443746607200209E-5	1.4437466072002102E-5	-5.329070518200756E-15	0.0	-985.2860338412673
2275000	-953.7199823037731	-953.7199823037731	-3.663735981263019E-15	2999.8348989199394	-989.8348989199394	13781.624873234401	1000.0	4.683286870339615	0.038361677889138204	5.933516676949234E-5	5.933516676949231E-5	-3.663735981263019E-15	0.0	-944.9822900802003
2300000	-971.2478730502997	-971.2478730502997	-4.329869796038114E-15	1557.6085817299686	452.3914182700314	10288.45499352637	1000.0	5.559276192857443	1.6842321611276923	3.5337626392380115E-5	3.53376263923801E-5	-4.329869796038114E-15	0.0	-959.5450009945172
2325000	-985.4596087149824	-985.4596087149824	-5.662137425588305E-15	1603.9347140482691	406.06528595173086	11991.961562217477	1000.0	2.359595573581188	0.44489410658287826	1.182129976713824E-4	1.1821299767138241E-4	-5.662137425588305E-15	0.0	-975.6685896900702
2350000	-970.2889388901116	-970.2889388901116	-1.9984014443252826E-15	1465.6366784781706	544.3633215218294	11873.357360971995	1000.0	3.4915405802045356	0.017700387797012235	1.5076959028648343E-5	1.5076959028648344E-5	-1.9984014443252826E-15	0.0	-963.210089568578
2375000	-971.8361417124386	-971.8361417124386	-4.329869796038114E-15	1464.7668116120155	545.2331883879845	11419.330539303424	1000.0	2.345025200540093	0.12690625496216704	1.1575228969230433E-8	1.157522896923043E-8	-4.329869796038114E-15	0.0	-968.6954162624583
2400000	-978.8070035576053	-978.8070035576053	-5.662137425588305E-15	1776.7557759605631	233.24422403943686	12203.290811216697	1000.0	1.1547655700291277	0.07900447673726947	4.984429916055767E-5	4.984429916055763E-5	-5.662137425588305E-15	0.0	-971.4841006846219
2425000	-991.0129359479229	-991.0129359479229	-5.329070518200756E-15	1053.1778867519574	956.8221132480426	11083.919531536369	1000.0	8.043394680341775	3.927220845395152	5.851514110642732E-7	5.85151411064273E-7	-5.329070518200756E-15	0.0	-976.6866374873686
2450000	-966.1302643328123	-966.1302643328123	-5.662137425588305E-15	1423.048879382526	586.9511206174741	9353.76920725333	1000.0	13.25194612577289	0.2907629003978086	2.7150630127713322E-8	2.7150630127713352E-8	-5.662137425588305E-15	0.0	-959.6077619313282
2475000	-965.8786221515373	-965.8786221515373	-5.329070518200756E-15	2940.884898023009	-930.8848980230091	13932.392063844483	1000.0	0.2946126031827371	0.9508249754145026	6.895019621295854E-5	6.895019621295853E-5	-5.329070518200756E-15	0.0	-956.3841754068155
2500000	-994.4345888997557	-994.4345888997557	-4.329869796038114E-15	2416.1118667324936	-406.1118667324936	15001.257189864757	1000.0	1.6505258520680088	0.9888159065484076	3.716503223792185E-5	3.716503223792186E-5	-4.329869796038114E-15	0.0	-985.390472370176
